time,header,state_vector,state_valid
2022/03/09 14:08:47.855500787,"{'stamp': {'secs': 1646834927, 'nsecs': 849520762}, 'frame_id': ''}","[-3.60204024543133, -7.405054168413577, 0.0, -2.2273217465895585, 3.79323960975553, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.0523295737924875e-11, 0.004379306]",0
2022/03/09 14:08:47.855611999,"{'stamp': {'secs': 1646834927, 'nsecs': 855310876}, 'frame_id': ''}","[-3.603216182470704, -7.403087964321576, 0.0, -2.03550126176798, 3.4576988469417635, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.3097149992780583e-11, 0.005787331]",0
2022/03/09 14:08:47.868998529,"{'stamp': {'secs': 1646834927, 'nsecs': 868787505}, 'frame_id': ''}","[-3.603259574476164, -7.402355446581472, 0.0, -1.4902219321906176, 2.5344741758476537, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -9.921217276306539e-12, 0.013473231]",0
2022/03/09 14:08:47.874180324,"{'stamp': {'secs': 1646834927, 'nsecs': 873983945}, 'frame_id': ''}","[-3.603514971042665, -7.401245208140393, 0.0, -0.3141612119985471, 0.5563352407766069, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.5742194950554164e-11, 0.005192675]",0
2022/03/09 14:08:47.875891551,"{'stamp': {'secs': 1646834927, 'nsecs': 875735109}, 'frame_id': ''}","[-3.6040567922397675, -7.399919985446166, 0.0, -0.22544476143618009, 0.45512360081701925, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -7.642775954075531e-11, 0.001748983]",0
2022/03/09 14:08:47.890299680,"{'stamp': {'secs': 1646834927, 'nsecs': 890110974}, 'frame_id': ''}","[-3.6049050744400906, -7.398646720151206, 0.0, -0.12184681194130668, 0.2990374294161942, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -9.300310530071102e-12, 0.01437273]",0
2022/03/09 14:08:47.900277333,"{'stamp': {'secs': 1646834927, 'nsecs': 899997435}, 'frame_id': ''}","[-3.605819573527715, -7.39767467249353, 0.0, -0.11622482850146523, 0.2801091613544792, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.3525374021194323e-11, 0.009882969]",0
2022/03/09 14:08:47.904492075,"{'stamp': {'secs': 1646834927, 'nsecs': 904272369}, 'frame_id': ''}","[-3.606797998187515, -7.397405633264125, 0.0, -0.14654583948528999, 0.2541694272283653, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.1293568217733874e-11, 0.004271512]",0
2022/03/09 14:08:47.912047151,"{'stamp': {'secs': 1646834927, 'nsecs': 911797755}, 'frame_id': ''}","[-3.607739980110179, -7.397146614761221, 0.0, -0.15369294729268937, 0.17969046480399803, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.7770076610765196e-11, 0.007522244]",0
2022/03/09 14:08:47.922664631,"{'stamp': {'secs': 1646834927, 'nsecs': 922345775}, 'frame_id': ''}","[-3.609219623722185, -7.3960438665118176, 0.0, -0.13615549683231024, 0.07480055030724746, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2677217653917752e-11, 0.010544179]",0
2022/03/09 14:08:47.933883459,"{'stamp': {'secs': 1646834927, 'nsecs': 933648262}, 'frame_id': ''}","[-3.6122189788351977, -7.392757748011783, 0.0, -0.16806070009595528, 0.10541711624301003, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.1829680952420758e-11, 0.011299616]",0
2022/03/09 14:08:47.944430452,"{'stamp': {'secs': 1646834927, 'nsecs': 944206367}, 'frame_id': ''}","[-3.615850384461523, -7.388520403218885, 0.0, -0.20955495292743984, 0.16944417296599776, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2664836497014857e-11, 0.010554487]",0
2022/03/09 14:08:47.956193917,"{'stamp': {'secs': 1646834927, 'nsecs': 956023900}, 'frame_id': ''}","[-3.620048812505308, -7.383222126015193, 0.0, -0.2474346461127519, 0.2589393654371698, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.1314470542939513e-11, 0.01181415]",0
2022/03/09 14:08:47.966173851,"{'stamp': {'secs': 1646834927, 'nsecs': 965913736}, 'frame_id': ''}","[-3.623796365179474, -7.378294353303708, 0.0, -0.3032798155097165, 0.35671721942452833, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.352194803069806e-11, 0.009885473]",0
2022/03/09 14:08:47.976067817,"{'stamp': {'secs': 1646834927, 'nsecs': 975803479}, 'frame_id': ''}","[-3.628482092432679, -7.372017375931401, 0.0, -0.36251550319554093, 0.4535571725008391, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.3521145144260589e-11, 0.00988606]",0
2022/03/09 14:08:47.988909898,"{'stamp': {'secs': 1646834927, 'nsecs': 988688489}, 'frame_id': ''}","[-3.633966204331103, -7.364573342922285, 0.0, -0.3966211753418329, 0.5149138759186986, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.037616257883519e-11, 0.012882494]",0
2022/03/09 14:08:47.997823594,"{'stamp': {'secs': 1646834927, 'nsecs': 997079267}, 'frame_id': ''}","[-3.6401556291531243, -7.356160147044256, 0.0, -0.4645807956508295, 0.6199597533112919, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.5937526078782987e-11, 0.008387177]",0
2022/03/09 14:08:47.997928333,"{'stamp': {'secs': 1646834927, 'nsecs': 997715641}, 'frame_id': ''}","[-3.645497532466596, -7.34888393105015, 0.0, -1.7232774030622786, 2.3411985298365865, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.1045954133569215e-10, 0.000635138]",0
2022/03/09 14:08:48.8519246,"{'stamp': {'secs': 1646834928, 'nsecs': 8199255}, 'frame_id': ''}","[-3.651032839612142, -7.34132550456799, 0.0, -2.294899477345828, 3.1235414237546015, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2754545612535731e-11, 0.010480252]",0
2022/03/09 14:08:48.17851034,"{'stamp': {'secs': 1646834928, 'nsecs': 16643583}, 'frame_id': ''}","[-3.6544476221857476, -7.3366392676374526, 0.0, -2.5137340340896146, 3.4241979048653572, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.5837619190431003e-11, 0.008440085]",0
2022/03/09 14:08:48.20448812,"{'stamp': {'secs': 1646834928, 'nsecs': 20229550}, 'frame_id': ''}","[-3.657389257115996, -7.332621725166041, 0.0, -2.323112870730458, 3.1657994966412213, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -3.7307609611126085e-11, 0.003582938]",0
2022/03/09 14:08:48.29854266,"{'stamp': {'secs': 1646834928, 'nsecs': 29426082}, 'frame_id': ''}","[-3.661019609716761, -7.327686993900128, 0.0, -1.750810460306055, 2.3866881365501738, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.4541729795002717e-11, 0.009192225]",0
2022/03/09 14:08:48.40644355,"{'stamp': {'secs': 1646834928, 'nsecs': 40421809}, 'frame_id': ''}","[-3.665768427000771, -7.321268354341937, 0.0, -0.5298917710866851, 0.7227625309373004, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.2160135801557604e-11, 0.010992546]",0
2022/03/09 14:08:48.52301386,"{'stamp': {'secs': 1646834928, 'nsecs': 51924962}, 'frame_id': ''}","[-3.6697049872875716, -7.315981584219641, 0.0, -0.4908922957210804, 0.6676514908880662, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -1.1623827290947129e-11, 0.011499728]",0
2022/03/09 14:08:48.58996596,"{'stamp': {'secs': 1646834928, 'nsecs': 58585062}, 'frame_id': ''}","[-3.6734736863769246, -7.310920250391649, 0.0, -0.48420014791473515, 0.655488780565069, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -2.0080361820496026e-11, 0.006656795]",0
2022/03/09 14:08:48.59130943,"{'stamp': {'secs': 1646834928, 'nsecs': 58855239}, 'frame_id': ''}","[-3.676039810631233, -7.3074739652977145, 0.0, -1.8337742668250747, 2.464466315544538, 0.0, 0.0, -0.0, -5.146856116855503e-06, 0.0, 0.0, -4.979598645673616e-10, 0.000268437]",0
